"繰越ID","経理区分","年度","科目ID","前期繰越額","貸借区分"
6646,3,,73,\0,"借+"
6647,0,,74,\0,"借+"
6648,1,,74,\0,"借+"
6649,2,,74,\0,"借+"
6650,3,,74,\0,"借+"
6651,0,,75,\0,"借+"
6652,1,,75,\0,"借+"
6653,2,,75,\0,"借+"
6654,3,,75,\0,"借+"
6655,0,,76,\0,"借+"
6656,1,,76,\0,"借+"
6657,2,,76,\0,"借+"
6658,3,,76,\0,"借+"
6659,0,,77,\0,"借+"
6660,1,,77,\0,"借+"
6661,2,,77,\0,"借+"
6662,3,,77,\0,"借+"
6663,0,,78,\0,"借+"
6664,1,,78,\0,"借+"
6665,2,,78,\0,"借+"
6666,3,,78,\0,"借+"
6667,0,,79,\0,"借+"
6668,1,,79,\0,"借+"
6669,2,,79,\0,"借+"
6670,3,,79,\0,"借+"
6671,0,,80,\0,"借+"
6672,1,,80,\0,"借+"
6673,2,,80,\0,"借+"
6674,3,,80,\0,"借+"
6675,0,,81,\0,"借+"
6676,1,,81,\0,"借+"
6677,2,,81,\0,"借+"
6678,3,,81,\0,"借+"
6679,0,,82,\0,"借+"
6680,1,,82,\0,"借+"
6681,2,,82,\0,"借+"
6682,3,,82,\0,"借+"
6683,0,,83,\0,"借+"
6684,1,,83,\0,"借+"
6685,2,,83,\0,"借+"
6686,3,,83,\0,"借+"
6687,0,,84,\0,"借+"
6688,1,,84,\0,"借+"
6689,2,,84,\0,"借+"
6690,3,,84,\0,"借+"
6691,0,,86,\0,"借+"
6692,1,,86,\0,"借+"
6693,2,,86,\0,"借+"
6694,3,,86,\0,"借+"
6695,0,,87,\0,"借+"
6696,1,,87,\0,"借+"
6697,2,,87,\0,"借+"
6698,3,,87,\0,"借+"
6699,0,,88,\0,"借+"
6700,1,,88,\0,"借+"
6701,2,,88,\0,"借+"
6702,3,,88,\0,"借+"
6703,0,,89,\0,"借+"
6704,1,,89,\0,"借+"
6705,2,,89,\0,"借+"
6706,3,,89,\0,"借+"
6707,0,,90,\0,"借+"
6708,1,,90,\0,"借+"
6709,2,,90,\0,"借+"
6710,3,,90,\0,"借+"
6711,0,,91,\0,"借+"
6712,1,,91,\0,"借+"
6713,2,,91,\0,"借+"
6714,3,,91,\0,"借+"
6715,0,,92,\0,"借+"
6716,1,,92,\0,"借+"
6717,2,,92,\0,"借+"
6718,3,,92,\0,"借+"
6719,0,,93,\0,"借+"
6720,1,,93,\0,"借+"
6721,2,,93,\0,"借+"
6722,3,,93,\0,"借+"
6723,0,,94,\0,"借+"
6724,1,,94,\0,"借+"
6725,2,,94,\0,"借+"
6726,3,,94,\0,"借+"
6727,0,,95,\0,"借+"
